end4_path	classification	caelestia_path	adapter	schema_verified	runtime_refs	nexus_refs	note
panelFamily	NOT_APPLICABLE	-	fixed-caelestia-platform	yes	0	0	Caelestia remains the only panel family
policies.ai	SCHEMA_ONLY	policies.ai	identity	yes	0	0	
policies.weeb	SCHEMA_ONLY	policies.weeb	identity	yes	0	0	
ai.systemPrompt	SCHEMA_ONLY	ai.systemPrompt	identity	yes	0	0	
ai.tool	SCHEMA_ONLY	ai.tool	identity	yes	0	0	
ai.extraModels	SCHEMA_ONLY	ai.extraModels	identity	yes	0	0	
appearance.extraBackgroundTint	REWRITE	appearance.extraBackgroundTint	identity	yes	0	0	
appearance.fakeScreenRounding	REWRITE	appearance.fakeScreenRounding	identity	yes	0	0	
appearance.fonts.main	REWRITE	appearance.font.body.family;appearance.font.label.family	font-role-merge	yes	0	0	
appearance.fonts.numbers	REWRITE	appearance.font.numbers	font-role-merge	yes	0	0	
appearance.fonts.title	REWRITE	appearance.font.title.family;appearance.font.headline.family	font-role-merge	yes	0	0	
appearance.fonts.iconNerd	REWRITE	appearance.font.workspaces	font-role-merge	yes	0	0	
appearance.fonts.monospace	REWRITE	appearance.font.mono.family	font-role-merge	yes	0	0	
appearance.fonts.reading	REWRITE	appearance.font.reading	font-role-merge	yes	0	0	
appearance.fonts.expressive	REWRITE	appearance.font.expressive	font-role-merge	yes	0	0	
appearance.transparency.enable	REWRITE	appearance.transparency.enabled	rename	yes	10	10	
appearance.transparency.automatic	REWRITE	appearance.transparency.automatic	identity	yes	0	0	
appearance.transparency.backgroundTransparency	REWRITE	appearance.transparency.base	opacity=1-transparency	yes	4	4	
appearance.transparency.contentTransparency	REWRITE	appearance.transparency.layers	opacity=1-transparency	yes	4	4	
appearance.wallpaperTheming.enableAppsAndShell	REWRITE	appearance.wallpaperTheming.enableAppsAndShell	identity	yes	0	0	
appearance.wallpaperTheming.enableQtApps	REWRITE	appearance.wallpaperTheming.enableQtApps	identity	yes	0	0	
appearance.wallpaperTheming.enableTerminal	REWRITE	appearance.wallpaperTheming.enableTerminal	identity	yes	0	0	
appearance.wallpaperTheming.terminalGenerationProps.harmony	REWRITE	appearance.wallpaperTheming.terminalGenerationProps.harmony	identity	yes	0	0	
appearance.wallpaperTheming.terminalGenerationProps.harmonizeThreshold	REWRITE	appearance.wallpaperTheming.terminalGenerationProps.harmonizeThreshold	identity	yes	0	0	
appearance.wallpaperTheming.terminalGenerationProps.termFgBoost	REWRITE	appearance.wallpaperTheming.terminalGenerationProps.termFgBoost	identity	yes	0	0	
appearance.wallpaperTheming.terminalGenerationProps.forceDarkMode	REWRITE	appearance.wallpaperTheming.terminalGenerationProps.forceDarkMode	identity	yes	0	0	
appearance.palette.type	REWRITE	appearance.palette.type	identity	yes	0	0	
appearance.palette.accentColor	REWRITE	appearance.palette.accentColor	identity	yes	0	0	
audio.protection.enable	EXISTING	services.audioProtection.enabled	rename	yes	14	6	
audio.protection.maxAllowedIncrease	EXISTING	services.audioProtection.maxIncrease	percent-to-ratio	yes	6	4	
audio.protection.maxAllowed	EXISTING	services.maxVolume	percent-to-ratio	yes	26	4	
profile.avatarPath	DIRECT	profile.avatarPath	identity	yes	0	0	
profile.avatarPicture	DIRECT	profile.avatarPicture	identity	yes	0	0	
profile.descriptionText	DIRECT	profile.descriptionText	identity	yes	0	0	
hyprland.animations.animation	REWRITE	hyprland.animations.animation	enable-to-enabled	yes	6	4	
hyprland.animations.enable	REWRITE	hyprland.animations.enabled	enable-to-enabled	yes	4	4	
hyprland.autostartApps.enable	REWRITE	hyprland.autostartApps.enabled	enable-to-enabled	yes	8	6	
hyprland.autostartApps.apps	REWRITE	hyprland.autostartApps.apps	enable-to-enabled	yes	6	4	
hyprland.decoration.rounding	REWRITE	hyprland.decoration.rounding	enable-to-enabled	yes	4	4	
hyprland.decoration.activeOpacity	REWRITE	hyprland.decoration.activeOpacity	enable-to-enabled	yes	0	0	
hyprland.decoration.inactiveOpacity	REWRITE	hyprland.decoration.inactiveOpacity	enable-to-enabled	yes	0	0	
hyprland.decoration.blur.enabled	REWRITE	hyprland.decoration.blur.enabled	enable-to-enabled	yes	4	4	
hyprland.decoration.blur.size	REWRITE	hyprland.decoration.blur.size	enable-to-enabled	yes	0	0	
hyprland.decoration.blur.passes	REWRITE	hyprland.decoration.blur.passes	enable-to-enabled	yes	0	0	
